phase,url,block,schema_types,parse_state,visible_alignment,issues
after,https://agents.kujolang.ai/agents/accessibility-auditor/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/ai-search-visibility-analyst/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/analytics-analyst/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/art-director/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/audience-development-director/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/backend-developer/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/backlink-mention-analyst/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/brand-strategy-director/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/campaign-copywriter/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/cannibalization-analyst/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/case-study-editor/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/chain-of-command/,1,CollectionPage;SoftwareSourceCode;Organization,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/chief-of-staff/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/code-reviewer/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/commissioning-editor/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/competitor-intelligence-analyst/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/content-accuracy-reviewer/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/content-decay-analyst/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/content-gap-analyst/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/content-portfolio-manager/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/content-pruning-analyst/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/context-packager/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/copy-chief/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/core-developer/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/creative-director/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/dependency-scanner/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/developmental-editor/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/director-of-editorial-intelligence/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/distribution-operator/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/documentation-writer/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/editor-in-chief/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/editorial-strategy-director/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/features-writer/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/franchise-adaptation-editor/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/frontend-developer/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/general-commander/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/,1,CollectionPage;Organization,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/indexation-analyst/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/information-architecture-auditor/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/integration-engineer/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/internal-link-specialist/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/issue-hygiene-worker/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/keyword-opportunity-analyst/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/link-health-auditor/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/lint-runner/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/managing-editor/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/metadata-auditor/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/newsletter-editor/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/performance-analyst/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/planner/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
after,https://agents.kujolang.ai/agents/product-strategist/,1,SoftwareSourceCode;WebPage;Organization;CollectionPage,valid JSON,headline/name/description manually comparable to visible page and metadata,
